model,isoform,fold,n_train,n_test,accuracy,f1,mcc,roc_auc
M0,CYP3A4,0,2867,717,0.810320781032078,0.40350877192982454,0.33365406624906474,0.8271566309739026
M0,CYP3A4,1,2867,717,0.7754532775453278,0.2907488986784141,0.19256322487548286,0.7476359338061466
M0,CYP3A4,2,2867,717,0.797768479776848,0.3881856540084388,0.2971782421405597,0.8003407036573496
M0,CYP3A4,3,2867,717,0.806136680613668,0.4034334763948498,0.3236007374871898,0.7980229917025912
M0,CYP3A4,4,2868,716,0.8100558659217877,0.38181818181818183,0.32111147926030215,0.8051045166106756
M0,CYP2D6,0,1197,300,0.7533333333333333,0.02631578947368421,-0.05955417644369955,0.5621603927986907
M0,CYP2D6,1,1197,300,0.7833333333333333,0.1095890410958904,0.11383659161047249,0.6504746317512275
M0,CYP2D6,2,1198,299,0.7658862876254181,0.10256410256410256,0.04667537509360907,0.5266929651545036
M0,CYP2D6,3,1198,299,0.7792642140468228,0.10810810810810811,0.09697423215912708,0.5407626561472716
M0,CYP2D6,4,1198,299,0.7692307692307693,0.1038961038961039,0.0486768843658541,0.571343085106383
M1,CYP3A4,0,2867,717,0.8131101813110181,0.4017857142857143,0.3401916572926852,0.8209567514949243
M1,CYP3A4,1,2867,717,0.7740585774058577,0.3017241379310345,0.1972428984754538,0.7501506512770594
M1,CYP3A4,2,2867,717,0.797768479776848,0.3983402489626556,0.30316115934404697,0.8013025541185741
M1,CYP3A4,3,2867,717,0.806136680613668,0.4034334763948498,0.3236007374871898,0.7980229917025912
M1,CYP3A4,4,2868,716,0.8114525139664804,0.3891402714932127,0.3281391178637467,0.7965308883911908
M1,CYP2D6,0,1197,300,0.7666666666666667,0.10256410256410256,0.047024600977638074,0.5441571194762684
M1,CYP2D6,1,1197,300,0.7766666666666666,0.10666666666666667,0.08263672193373398,0.6026186579378069
M1,CYP2D6,2,1198,299,0.7658862876254181,0.10256410256410256,0.04667537509360907,0.4829059829059829
M1,CYP2D6,3,1198,299,0.7792642140468228,0.10810810810810811,0.09697423215912708,0.5395134779750165
M1,CYP2D6,4,1198,299,0.7759197324414716,0.10666666666666667,0.07127686639285778,0.5960106382978723
M2,CYP3A4,0,2867,717,0.8131101813110181,0.4017857142857143,0.3401916572926852,0.8209567514949243
M2,CYP3A4,1,2867,717,0.7740585774058577,0.3017241379310345,0.1972428984754538,0.7501506512770594
M2,CYP3A4,2,2867,717,0.796373779637378,0.3813559322033898,0.29035753892508404,0.8014068511565382
M2,CYP3A4,3,2867,717,0.810320781032078,0.423728813559322,0.34355859059872335,0.8049297733277709
M2,CYP3A4,4,2868,716,0.8100558659217877,0.38181818181818183,0.32111147926030215,0.8027598917506533
M2,CYP2D6,0,1197,300,0.7566666666666667,0.02666666666666667,-0.052587004866921624,0.5737479541734861
M2,CYP2D6,1,1197,300,0.78,0.05714285714285714,0.057935675398164105,0.5963993453355155
M2,CYP2D6,2,1198,299,0.7658862876254181,0.10256410256410256,0.04667537509360907,0.4829059829059829
M2,CYP2D6,3,1198,299,0.7759197324414716,0.10666666666666667,0.08235294117647059,0.531689677843524
M2,CYP2D6,4,1198,299,0.7658862876254181,0.125,0.0570747187287732,0.5873670212765958
M3,CYP3A4,0,2867,717,0.810320781032078,0.41379310344827586,0.3385790805702958,0.8441106939229592
M3,CYP3A4,1,2867,717,0.7824267782426778,0.3217391304347826,0.22615829010159524,0.7570458443424652
M3,CYP3A4,2,2867,717,0.793584379358438,0.36752136752136755,0.27653969274450707,0.8289528577388402
M3,CYP3A4,3,2867,717,0.8075313807531381,0.39473684210526316,0.3225307126664833,0.8190562276920226
M3,CYP3A4,4,2868,716,0.8114525139664804,0.4052863436123348,0.3354625547923514,0.8136898096304591
M3,CYP2D6,0,1197,300,0.7566666666666667,0.02666666666666667,-0.052587004866921624,0.5899181669394435
M3,CYP2D6,1,1197,300,0.78,0.13157894736842105,0.11265067110434734,0.5646481178396072
M3,CYP2D6,2,1198,299,0.7491638795986622,0.05063291139240506,-0.04005009394574071,0.5042735042735043
M3,CYP2D6,3,1198,299,0.7759197324414716,0.1518987341772152,0.11347526617959867,0.5721236028928337
M3,CYP2D6,4,1198,299,0.782608695652174,0.08450704225352113,0.08098078402840096,0.5942819148936169
