isoform,fold,n_train,n_test,accuracy,f1,mcc,roc_auc
CYP3A4,0,2867,717,0.810320781032078,0.40350877192982454,0.33365406624906474,0.8271566309739026
CYP3A4,1,2867,717,0.7754532775453278,0.2907488986784141,0.19256322487548286,0.7476359338061466
CYP3A4,2,2867,717,0.797768479776848,0.3881856540084388,0.2971782421405597,0.8003407036573496
CYP3A4,3,2867,717,0.806136680613668,0.4034334763948498,0.3236007374871898,0.7980229917025912
CYP3A4,4,2868,716,0.8100558659217877,0.38181818181818183,0.32111147926030215,0.8051045166106756
CYP2D6,0,1197,300,0.7533333333333333,0.02631578947368421,-0.05955417644369955,0.5621603927986907
CYP2D6,1,1197,300,0.7833333333333333,0.1095890410958904,0.11383659161047249,0.6504746317512275
CYP2D6,2,1198,299,0.7658862876254181,0.10256410256410256,0.04667537509360907,0.5266929651545036
CYP2D6,3,1198,299,0.7792642140468228,0.10810810810810811,0.09697423215912708,0.5407626561472716
CYP2D6,4,1198,299,0.7692307692307693,0.1038961038961039,0.0486768843658541,0.571343085106383
